text,type,label,tag_a,tag_b
这次活动报名费一共多少钱？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
怎么收费？给个痛快话。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名费是多少钱一位？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
你们这个活动具体是怎么收费的？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
费用是多少？我直接转给你。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
价格还能再便宜点吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我是老学员，没有优惠吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
两个人一起报名能打个折吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
你们这个价格有点贵，能不能给个亲情价？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
现在报名有什么赠送或者减免活动吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
咱们都是参加过的，没有优惠吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
这费用里面具体都包含什么项目？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
除了报名费，中间还会不会有其他收费？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
材料费和场地费是另算还是包含在里面了？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
大人陪同需要另外交钱吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名费里包不包含午餐和保险？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我看别家机构类似的活动比你们便宜多了。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
你们这次活动怎么比上一次涨价了？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
为什么你们比XX机构贵这么多？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线上类似活动才几十块钱，你们线下怎么这么贵？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
可以分期付款吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
能不能先交个定金，剩下的到时候再补？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后如果有事去不了，费用能全退吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
可以刷信用卡或者花呗吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
能开发票或者收据吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
就这几个小时，收这么多钱，值吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
孩子能学到东西吗？这钱不想白花。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
价格这么高，你们能保证什么效果吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
参加这个活动一共需要缴纳多少费用？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名费里包不包含比赛期间的食宿和交通费？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
除了报名费，后续进入复赛或者决赛还需要再交钱吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
费用里是否包含拍摄精美剧照或视频的钱？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
不就是背几首古诗吗，为什么要收这个价格？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我看网上类似的诗词打卡活动都是免费的，你们有什么区别？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
以前参加过的诗词活动比你们便宜，这次为什么涨价了？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
能不能只参加最后一天的诗词大会比赛，交个参赛费就行？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我们是学校诗词社团组团来的，能申请团购优惠价吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
老学员报名活动有没有内部折扣？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
家里二宝一起报名，能享受亲情价吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
朋友圈集赞能抵扣一部分报名费吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
过了截止日期还能按优惠价算吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
孩子背诗本来就不行，交了钱能保证学会多少首吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
参加这个活动能帮孩子提升语文成绩吗？不然感觉钱白花了。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
这个费用是一次性交清，还是可以分两次付？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
参加这个活动，孩子能拿到证书吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名费里包含证书费用吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
每个人都有证书，还是只有获奖的才有？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书是什么性质的？是比赛的还是培训的？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
参与活动就能获得证书吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书是纸质的还是电子版的？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
如果是电子证书，可以自行打印吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
纸质证书是邮寄到家，还是需要来领取？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书上会写明具体的奖项（如一等奖）吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书上会有孩子的名字和照片吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书是哪个单位盖章颁发的？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
这个证书对孩子升学有帮助吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书含金量高不高？学校认不认可？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
这个证书能作为“社会实践”或“艺术素养”的证明吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
和学校的诗词活动证书相比，这个有什么不同？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书是永久有效的吗？会不会过期？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
参加别的诗词活动都有精美的证书和奖牌，你们有吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书如果弄丢了，可以补办吗？需要费用吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
为什么有些活动免费但没证书，你们收费也发证书吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
如果孩子没有获奖，那报名费不就白交了？还能有个证书吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书是什么时候发？活动结束后多久能拿到？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我们可以指定证书的邮寄地址吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
如果当天没领到证书，后续怎么联系补发？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
孩子请假没参加全程，还能发证书吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
